Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.67000000e-001	-6.05525216e+001	2.17912738e+001	3.81791274e+002	-4.74643225e+001	-4.74643225e+001	-6.29852267e+001	8.44558193e+001	-2.75544181e+002	3.78301781e+000	3.78301781e+000
5.68000000e-001	-5.74891289e+001	8.90876572e+000	3.68908766e+002	-3.39956159e+001	-3.39956159e+001	-5.75043516e+001	2.03988270e+001	-3.39601173e+002	-2.17811806e+001	-2.17811806e+001
5.69000000e-001	-5.64137868e+001	6.92015066e+001	4.29201507e+002	2.56561600e+001	2.56561600e+001	-5.89943381e+001	-7.35445765e+001	-4.33544576e+002	-1.45949342e+001	-1.45949342e+001
5.70000000e-001	-6.09177321e+001	7.78383799e+001	4.37838380e+002	-1.77895179e+001	-1.77895179e+001	-5.87333640e+001	-1.84912027e+001	-3.78491203e+002	-4.43997322e+001	-4.43997322e+001
5.71000000e-001	-7.39224515e+001	-2.68706545e+001	3.33129346e+002	-7.86037757e+000	-7.86037757e+000	-6.94972182e+001	-2.94336932e+001	-3.89433693e+002	-1.01009783e+001	-1.01009783e+001
5.72000000e-001	-6.03758918e+001	-7.17318556e+001	2.88268144e+002	-2.29048805e+001	-2.29048805e+001	-6.34627596e+001	3.41135134e+001	-3.25886487e+002	-9.80323753e+000	-9.80323753e+000
5.73000000e-001	-5.60956427e+001	1.76396350e+000	3.61763963e+002	-6.61501456e+001	-6.61501456e+001	-6.84789955e+001	-8.21774662e+001	-4.42177466e+002	-5.06868844e-001	-5.06868844e-001
5.74000000e-001	-6.84432280e+001	-5.69650541e+001	3.03034946e+002	-3.18517084e+000	-3.18517084e+000	-6.69700398e+001	-4.76940887e+001	-4.07694089e+002	9.72814893e+000	9.72814893e+000
5.75000000e-001	-6.51326439e+001	2.26464743e-002	3.60022646e+002	-1.41046915e+001	-1.41046915e+001	-6.00723417e+001	5.76019275e+001	-3.02398073e+002	-1.95426030e+001	-1.95426030e+001
5.76000000e-001	-6.29420105e+001	-6.27448397e+001	2.97255160e+002	-1.58367613e+001	-1.58367613e+001	-5.84734817e+001	-6.00164864e+001	-4.20016486e+002	2.59717589e+001	2.59717589e+001
5.77000000e-001	-5.44842601e+001	-3.16439047e+001	3.28356095e+002	-4.60077980e+001	-4.60077980e+001	-6.17534581e+001	8.70160594e+001	-4.52983941e+002	-2.70255010e+001	-2.70255010e+001
5.78000000e-001	-5.80222787e+001	8.59821905e+001	4.45982191e+002	5.19291140e+000	5.19291140e+000	-5.77936305e+001	3.35123195e+001	-5.06487680e+002	4.27936642e+001	4.27936642e+001
5.79000000e-001	-5.89850722e+001	8.83950753e+001	4.48395075e+002	1.45684953e+001	1.45684953e+001	-5.48840467e+001	-1.47860347e+001	-5.54786035e+002	-6.73607129e+001	-6.73607129e+001
5.80000000e-001	-5.59455454e+001	7.01507147e+001	4.30150715e+002	1.02405488e+001	1.02405488e+001	-5.97871250e+001	4.74795077e+001	-4.92520492e+002	-1.59909621e+001	-1.59909621e+001
5.81000000e-001	-6.07243598e+001	-8.63498758e+001	4.53650124e+002	4.47613877e+000	4.47613877e+000	-6.55034880e+001	-1.65472838e+000	-5.41654728e+002	1.59632086e+001	1.59632086e+001
5.82000000e-001	-7.03869158e+001	-8.02483720e+001	4.59751628e+002	-3.28407365e+000	-3.28407365e+000	-8.02607456e+001	-8.27443662e+001	-6.22744366e+002	-1.42468039e+000	-1.42468039e+000
5.83000000e-001	-5.34554572e+001	8.22434704e+000	5.48224347e+002	-8.82448076e+001	-8.82448076e+001	-7.63090058e+001	1.41645362e+001	-5.25835464e+002	6.23234783e+000	6.23234783e+000
